ID	位置	中文	한국어	備註
R6.tip.2	strings.js · R6	下鍋後先別急著翻。等蛋衣定型、邊緣微微上色再翻，蛋衣才不容易脫落。	팬에 올린 뒤 바로 뒤집지 않는다. 달걀옷이 굳고 가장자리에 살짝 색이 나면 뒤집어야 벗겨지지 않는다.	
R6.tip.3	strings.js · R6	起鍋先單層攤開。熱氣還在時疊起來，底部很快會被水氣悶軟。	부친 뒤에는 한 겹으로 펼쳐 둔다. 뜨거울 때 겹쳐 쌓으면 수증기 때문에 바닥이 금방 눅눅해진다.	
R6.tip.4	strings.js · R6	沾醬不用複雜。醬油加醋，再撒一點韓式辣椒粉就夠；醬汁太重反而會蓋過櫛瓜味。	찍어 먹는 양념은 간단하면 된다. 간장에 식초, 고춧가루를 조금 넣으면 충분하다. 양념이 너무 세면 애호박 맛이 묻힌다.	
R6.prep.1	strings.js · R6	切成 0.5–0.7 cm 圓片，撒鹽靜置 5 分鐘；出水後徹底擦乾	0.5–0.7cm 두께로 둥글게 썰고 소금을 뿌려 5분 둔다. 물이 나오면 완전히 닦는다	
R6.prep.2	strings.js · R6	薄薄沾在櫛瓜兩面，拍掉多餘的粉	애호박 양면에 얇게 묻힌 뒤 남는 가루는 털어낸다	
R6.prep.3	strings.js · R6	加幾滴芝麻油打散備用	참기름 몇 방울을 넣어 풀어 둔다.	
R7.title	strings.js · R7	一秒回羅馬番茄肉醬	라구 소스	
R7.subtitle	strings.js · R7	蔬菜底香甜、肉香濃郁。兩小時，時間會處理一切。	채소 베이스의 단맛과 고기 풍미. 시간과 불이 완성하는 라구.	
R7.note	strings.js · R7	蔬菜丁耐心炒出甜香，下肉末與番茄慢燉。拌麵抹麵包都無敵。	다진 채소 달달 볶아 단맛 내고 뭉근하게 졸이기. 빵에 얹어도 최고야.	
R7.murmur	strings.js · R7	躺在沙發聞肉醬香，就是幸福。	소파에 누워 라구 향 솔솔 맡는 게 찐 행복.	
R7.urgent	strings.js · R7	開始前先確認這段時間人在家。煮上了就別急著出門。	집에 계속 있을 수 있는지 먼저 확인. 끓이기 시작하면 나가지 마.	
R7.stage.1	strings.js · R7	蔬菜慢慢炒甜	채소 단맛 천천히 끌어내기	
R7.stage.2	strings.js · R7	肉末炒散香	다진 고기 풀어 볶기	
R7.stage.3	strings.js · R7	紅酒收進去	레드와인 졸이기	
R7.stage.4	strings.js · R7	番茄慢慢燉	토마토 천천히 끓이기	
R7.step.1	strings.js · R7	深鍋加少量油，放入洋蔥、胡蘿蔔、西洋芹和蘑菇，中火慢炒。	깊은 냄비에 기름을 조금 두르고 양파, 당근, 셀러리, 버섯을 넣어 중불에서 천천히 볶는다.	
R7.step.2	strings.js · R7	炒到蔬菜明顯縮水、洋蔥變透明，並出現明顯甜香。	채소 부피가 확 줄고 양파가 투명해지며 단내가 분명히 날 때까지 볶는다.	
R7.step.3	strings.js · R7	加入豬絞肉和牛絞肉，用鍋鏟把肉壓散，和蔬菜一起翻炒。	다진 돼지고기와 소고기를 넣고 주걱으로 눌러 풀면서 채소와 함께 볶는다.	
R7.step.4	strings.js · R7	繼續炒到肉末完全變色，鍋中水氣明顯減少。	고기 색이 완전히 변하고 냄비의 수분이 눈에 띄게 줄 때까지 볶는다.	
R7.step.5	strings.js · R7	繼續炒到鍋底不再有明顯水分，只剩油脂，肉香明顯。	냄비 바닥에 물기가 거의 없어지고 기름만 남아 고기 향이 진해질 때까지 더 볶는다.	
R7.step.6	strings.js · R7	倒入紅酒 180 ml，轉中大火煮滾。	레드와인 180ml를 붓고 중강불에서 끓인다.	
R7.step.7	strings.js · R7	紅酒沸騰時，用鍋鏟把黏在鍋底的焦香物刮起來。	와인이 끓을 때 주걱으로 냄비 바닥에 눌어붙은 갈색 부분을 긁어 올린다.	
R7.step.8	strings.js · R7	繼續煮到明顯酒精味散去、紅酒大幅收乾。	알코올 향이 사라지고 와인이 눈에 띄게 졸아들 때까지 계속 끓인다.	
R7.step.9	strings.js · R7	倒入番茄義大利麵醬，和鍋中的肉末、蔬菜攪拌均勻。	토마토 파스타 소스를 넣고 고기와 채소와 고루 섞는다.	
R7.step.10	strings.js · R7	煮滾後轉極小火，鍋蓋留一條小縫，燉 1 小時。	끓기 시작하면 아주 약한 불로 줄이고 뚜껑을 살짝 열어 둔 채 1시간 끓인다.	
R7.step.11	strings.js · R7	每 10–15 分鐘攪拌一次，同時刮一下鍋底，避免肉醬黏鍋。	10–15분마다 한 번씩 저으면서 바닥도 긁어 라구가 눌어붙지 않게 한다.	
R7.step.12	strings.js · R7	燉到醬汁變濃、肉末和蔬菜融合，表面浮出少量油脂時即可關火。	소스가 걸쭉해지고 고기와 채소가 하나로 어우러지며 표면에 기름이 조금 떠오르면 불을 끈다.	
R7.step.13	strings.js · R7	試味後，用鹽調整鹹度。	간을 보고 소금으로 맞춘다.	
R7.tip.1	strings.js · R7	豬肉比例高一點，醬會更柔潤；牛肉負責補肉香。兩種混在一起，油脂和香氣會比較平衡。	돼지고기 비율이 높으면 소스가 더 부드럽고 윤기 있게 되고, 소고기는 고기 향을 보탠다. 둘을 섞으면 지방과 향의 균형이 좋다.	
R7.tip.2	strings.js · R7	蘑菇切得夠碎，燉久後會幾乎融進醬裡。不太吃得到明顯菇塊，但香味會留下。	버섯을 충분히 잘게 썰면 오래 끓이는 동안 거의 소스에 녹아든다. 버섯 조각은 잘 느껴지지 않아도 향은 남는다.	
R7.tip.3	strings.js · R7	冷凍時把肉醬裝平、壓薄。比較省空間，也能縮短退冰時間；一餐一包最方便。	냉동할 때 소스를 납작하게 펴서 담는다. 공간도 덜 차지하고 해동도 빨라진다. 한 끼 분량씩 나누면 가장 편하다.	
R7.tip.4	strings.js · R7	拌麵時加一點煮麵水，把肉醬調鬆再拌。醬能均勻裹住麵條，就不會麵是麵、醬是醬。	파스타에 섞을 때 면수를 조금 넣어 라구를 풀어 준다. 소스가 면에 고르게 붙어야 면과 소스가 따로 놀지 않는다.	
R7.prep.1	strings.js · R7	切小丁	작게 깍둑썬다	
R7.prep.2	strings.js · R7	切小丁	작게 깍둑썬다	
R7.prep.3	strings.js · R7	切小丁	작게 깍둑썬다	
R7.prep.4	strings.js · R7	切小丁	작게 깍둑썬다	
R7.prep.5	strings.js · R7	下鍋前 10 分鐘從冰箱取出	조리 10분 전에 냉장고에서 꺼낸다	
R7.prep.6	strings.js · R7	下鍋前 10 分鐘從冰箱取出	조리 10분 전에 냉장고에서 꺼낸다	
R8.title	strings.js · R8	大口吃肉泡菜鍋	돼지고기 김치찌개	
R8.subtitle	strings.js · R8	泡菜不夠酸不要煮。厚切五花在等它變一家人。	덜 익은 김치로는 끓이지 마. 두툼한 삼겹살한테 실례야.	
R8.note	strings.js · R8	厚切五花先煎出豬油再下酸泡菜炒香。油脂包覆酸氣，湯頭才夠濃。	삼겹살 기름에 신김치 달달 볶기. 돼지기름이 신맛을 감싸줘야 국물이 찐해져.	
R8.murmur	strings.js · R8	盛好白飯，我已經準備好大口吃肉。	밥 펐다. 이제 고기 흡입할 준비 완료.	
R8.urgent	strings.js · R8	泡菜如果還很新鮮，先密封放室溫半天讓它變酸。	김치가 아직 덜 익었으면 밀폐해 실온에 반나절 두어 신맛을 낸다.	
R8.stage.1	strings.js · R8	五花先煎香	삼겹살 먼저 굽기	
R8.stage.2	strings.js · R8	泡菜咕嘟	김치 보글보글	
R8.stage.3	strings.js · R8	最後試味收尾	마지막 간 보고 마무리	
R8.step.1	strings.js · R8	鍋中放入豬五花，中火煎到表面微微金黃並逼出豬油。	냄비에 삼겹살을 넣고 중불에서 겉면이 살짝 노릇해지며 기름이 나오도록 굽는다.	
R8.step.2	strings.js · R8	加入洋蔥和泡菜，拌炒 3–4 分鐘，直到泡菜顏色變深、酸香味出來。	양파와 김치를 넣고 3–4분 볶아 김치 색이 진해지고 새콤한 향이 올라오게 한다.	
R8.step.3	strings.js · R8	加入蒜末、韓式芝麻油和韓式辣椒粉，快速拌炒均勻。辣椒粉可依泡菜辣度減量。	다진 마늘, 참기름, 고춧가루를 넣고 빠르게 섞어 볶는다. 고춧가루는 김치의 매운 정도에 따라 줄여도 된다.	
R8.step.4	strings.js · R8	倒入泡菜汁和昆布魚乾高湯，加入韓式醃蝦醬，攪拌均勻。	김치국물과 다시마·멸치 육수를 붓고 새우젓을 넣어 고루 섞는다.	
R8.step.5	strings.js · R8	煮滾後轉中小火，蓋上鍋蓋燉 15–20 分鐘，讓豬肉熟透、湯底味道融合。	끓으면 중약불로 줄이고 뚜껑을 덮어 15–20분 끓인다. 돼지고기가 익고 국물 맛이 어우러지면 된다.	
R8.step.6	strings.js · R8	加入豆腐，再煮 5 分鐘。豆腐下鍋後不要再翻動。	두부를 넣고 5분 더 끓인다. 두부를 넣은 뒤에는 더 이상 뒤적이지 않는다.	
R8.step.7	strings.js · R8	試味。太酸可加少量糖；不夠鹹再補鹽或少量魚露。	간을 본다. 너무 시면 설탕을 조금 넣고, 싱거우면 소금이나 액젓을 조금 더한다.	
R8.step.8	strings.js · R8	湯汁煮到略微變濃後加入大蔥，再煮 1 分鐘即可關火。湯量以能包住食材、但不過度稀薄為準。	국물이 살짝 걸쭉해지면 대파를 넣고 1분 더 끓인 뒤 불을 끈다. 국물이 재료에 자작하게 남을 정도가 좋다.	
R8.tip.1	strings.js · R8	泡菜汁有就一起下。它帶著發酵後的酸味和辣味，湯底會比只放泡菜更完整。	김치국물이 있으면 함께 넣는다. 발효된 산미와 매운맛이 더해져 김치만 넣었을 때보다 국물 맛이 또렷해진다.	
R8.tip.2	strings.js · R8	天氣熱時熟成要看酸味，不要只看時間。泡菜一有明顯酸香就冰回去，別放到過頭。	날씨가 더울 때는 시간보다 신맛을 기준으로 익힌다. 새콤한 향이 분명해지면 냉장고에 넣고, 너무 익히지 않는다.	
R8.tip.3	strings.js · R8	沒有韓式醃蝦醬，可以用魚露補鮮鹹味。先從 1/2 茶匙開始，煮滾後再決定要不要加。	새우젓이 없으면 액젓으로 감칠맛과 짠맛을 보충할 수 있다. 1/2작은술부터 넣고 끓인 뒤 더 넣을지 결정한다.	
R8.tip.4	strings.js · R8	水先少放，煮滾後再補。泡菜和豆腐都會出水，一開始倒太多，最後只會剩一鍋稀湯。	물은 처음에 적게 넣고 끓인 뒤 보충한다. 김치와 두부에서도 수분이 나오므로 처음부터 많이 부으면 국물이 지나치게 묽어진다.	
R8.prep.1	strings.js · R8	剪成一口大小，泡菜汁保留備用	한입 크기로 자르고 김치국물은 따로 남겨 둔다	
R8.prep.2	strings.js · R8	切成一口大塊	한입 크기로 썬다	
R8.prep.3	strings.js · R8	切絲	채 썬다	
R8.prep.4	strings.js · R8	斜切段	어슷썬다	
R8.prep.5	strings.js · R8	切厚片	두툼하게 썬다	
R9.title	strings.js · R9	有肉有菜雞腿炒麵	닭다리살 볶음면	
R9.subtitle	strings.js · R9	白菜爽脆、雞腿肉焦香。大火快炒封住肉汁。	배추는 아삭, 닭다리살은 노릇하게. 센 불로 육즙 꽉 가두기.	
R9.note	strings.js · R9	有肉有菜有碳水，一盤就把晚餐交代完。洗一個鍋子是我的極限。	고기, 채소, 탄수화물까지 한 팬으로 저녁 끝. 설거지는 냄비 하나가 내 한계야.	
R9.murmur	strings.js · R9	麵熟了叫我一聲。	면 다 볶아지면 나 깨워줘.	
R9.stage.1	strings.js · R9	雞腿先上色	닭다리살 먼저 노릇하게	
R9.stage.2	strings.js · R9	蔬菜快炒	채소 빠르게 볶기	
R9.stage.3	strings.js · R9	麵條一起收乾	면 넣고 수분 날리기	
R9.step.1	strings.js · R9	熱鍋下油，加入雞腿肉，以中大火炒到表面微微金黃。	달군 팬에 기름을 두르고 닭다리살을 넣어 중강불에서 겉면이 살짝 노릇해질 때까지 볶는다.	
R9.step.2	strings.js · R9	加入大蔥片和洋蔥絲，炒到香氣出來、洋蔥稍微變軟。	대파와 양파를 넣어 향이 나고 양파가 살짝 부드러워질 때까지 볶는다.	
R9.step.3	strings.js · R9	加入白菜絲和秀珍菇，大火翻炒約 30 秒，直到蔬菜稍微變軟。	배추와 느타리버섯을 넣고 센 불에서 약 30초 볶아 채소가 살짝 숨이 죽게 한다.	
R9.step.4	strings.js · R9	加入瀝乾的生麵條，用筷子或料理夾撥散，和雞肉、蔬菜快速拌勻。	물기를 뺀 생면을 넣고 젓가락이나 집게로 풀어 가며 닭고기, 채소와 빠르게 섞는다.	
R9.step.5	strings.js · R9	淋入調好的醬香炒麵醬汁，再加入紅、黃甜椒細絲。	미리 섞어 둔 볶음면 소스를 붓고 빨강·노랑 파프리카를 넣는다.	
R9.step.6	strings.js · R9	維持大火快速翻炒約 60 秒，讓醬汁均勻裹住麵條。若鍋底太乾、麵條拌不開，再沿鍋邊少量補 1–2 湯匙水。	센 불을 유지하며 약 60초 빠르게 볶아 소스가 면에 고르게 묻게 한다. 팬 바닥이 너무 마르고 면이 풀리지 않으면 가장자리로 물 1–2큰술을 조금씩 보탠다.	
R9.step.7	strings.js · R9	麵條均勻上色、醬汁裹住麵條，鍋底仍有少量油亮感時立即關火起鍋。	면에 색이 고르게 나고 소스가 잘 묻으며 팬 바닥에 약간의 윤기가 남으면 즉시 불을 끄고 담는다.	
R9.tip.1	strings.js · R9	蔬菜可以換，但總量別一下加太多。高麗菜、青江菜都可以，切細、少量下，才不會炒出一鍋水。	채소는 바꿔도 되지만 한꺼번에 너무 많이 넣지 않는다. 양배추나 청경채도 잘게 썰어 조금만 넣어야 물이 많이 나오지 않는다.	
R9.tip.2	strings.js · R9	真的太乾再沿鍋邊補一點水，每次少量就好。一次倒太多會讓鍋溫掉下來，麵就從炒變成煮。	정말 너무 마를 때만 팬 가장자리로 물을 조금씩 보탠다. 한 번에 많이 부으면 팬 온도가 떨어져 볶음면이 아니라 삶은 면이 된다.	
R9.prep.1	strings.js · R9	先在碗中調勻備用	그릇에 미리 섞어 둔다	
R9.prep.2	strings.js · R9	切小塊，放入雞腿醃料抓勻，醃 10–15 分鐘	작게 썰어 밑간 양념에 버무린 뒤 10–15분 재운다	
R9.prep.3	strings.js · R9	切細絲；菜梗切得更細	가늘게 채 썬다. 줄기 부분은 더 가늘게 썬다	
R9.prep.4	strings.js · R9	切細絲	가늘게 채 썬다	
R9.prep.5	strings.js · R9	切極細絲	아주 가늘게 채 썬다	
R9.prep.6	strings.js · R9	切極細絲	아주 가늘게 채 썬다	
R9.prep.7	strings.js · R9	切薄片	송송 썬다	
R9.prep.8	strings.js · R9	用手撕成細條	손으로 가늘게 찢는다	
R9.prep.9	strings.js · R9	先調勻備用	미리 섞어 둔다	
R9.prep.10	strings.js · R9	煮到九分熟，沖冷水後瀝乾，拌少量油防黏	90% 정도만 삶고 찬물에 헹군 뒤 물기를 뺀다. 기름을 조금 버무려 달라붙지 않게 한다	
R10.title	strings.js · R10	韓式醬醃洋蔥	양파장아찌	
R10.subtitle	strings.js · R10	解膩小菜、煎餅沾醬。酸甜微辣，洋蔥醬汁是精髓。	밑반찬이자 전 찍먹 소스. 양파 향 밴 새콤달콤 간장이 킥.	
R10.note	strings.js · R10	半顆洋蔥切塊，熱醬汁沖下去冷藏兩小時。配烤肉、炸物、煎餅都絕配。	양파 반 개 썰어 뜨거운 간장 붓고 두 시간 냉장. 고기, 튀김, 전에 찰떡.	
R10.murmur	strings.js · R10	冰箱常備這一盒，我隨時能開動。	냉장고에 이거 하나면 언제든 든든하지.	
R10.stage.1	strings.js · R10	醬汁煮開	간장물 끓이기	
R10.stage.2	strings.js · R10	關火加醋熱沖	불 끄고 식초 넣어 뜨겁게 붓기	
R10.stage.3	strings.js · R10	冰著等入味	냉장고에서 간 들이기	
R10.step.1	strings.js · R10	小鍋加入水 5 湯匙、醬油 5 湯匙、白糖、黑糖和米酒，以中小火加熱。	작은 냄비에 물 5큰술, 간장 5큰술, 설탕, 흑설탕, 청주 또는 소주를 넣고 중약불로 데운다.	
R10.step.2	strings.js · R10	邊加熱邊攪拌，直到糖完全融化、醬汁煮滾。	저으면서 설탕이 완전히 녹고 간장물이 끓을 때까지 가열한다.	
R10.step.3	strings.js · R10	醬汁煮滾後立刻關火，加入白醋拌勻。	간장물이 끓으면 바로 불을 끄고 식초를 넣어 섞는다.	
R10.step.4	strings.js · R10	趁醬汁仍熱時直接淋在洋蔥和辣椒上，讓醬汁大致淹到洋蔥。	간장물이 뜨거울 때 양파와 고추에 바로 붓는다. 양파가 거의 잠길 정도면 된다.	
R10.step.5	strings.js · R10	稍微放涼後蓋上蓋子，放入冰箱冷藏。至少 2 小時後再吃，隔天會更入味。	한김 식힌 뒤 뚜껑을 덮어 냉장한다. 최소 2시간 뒤부터 먹을 수 있고, 다음 날 더 잘 밴다.	
R10.tip.1	strings.js · R10	洋蔥切成一口大小。太細會很快失去口感，太大又不容易均勻入味。	양파는 한입 크기로 자른다. 너무 잘게 썰면 금방 물러지고, 너무 크면 간이 고르게 배지 않는다.	
R10.tip.2	strings.js · R10	醋關火後再加。煮太久香氣會跑掉，最後只剩比較單一的酸味。	식초는 불을 끈 뒤 넣는다. 오래 끓이면 향이 날아가고 단조로운 신맛만 남는다.	
R10.tip.3	strings.js · R10	黑糖主要補焦糖香和顏色。全用白糖也能做，醬汁會比較清亮，少一點焦香。	흑설탕은 캐러멜 향과 색을 더한다. 흰설탕만 써도 되지만 간장물이 더 맑고 캐러멜 향은 줄어든다.	
R10.tip.4	strings.js · R10	米酒只是提香。沒有就省略，改補 1 湯匙水，不用為這一道特地買一瓶。	청주나 소주는 향을 더하는 용도다. 없으면 빼고 물 1큰술을 더하면 된다. 이거 하나 하려고 한 병 살 필요는 없다.	
R10.tip.5	strings.js · R10	這是冷藏小菜，不是長期保存罐頭。用乾淨筷子取用，吃完立刻冰回去，建議 5–7 天內吃完。	오래 두고 먹는 장아찌가 아니다. 깨끗한 젓가락으로 덜어 먹고 바로 냉장고에 넣는다. 5–7일 안에 먹는 것을 권한다.	
R10.prep.1	strings.js · R10	切成一口大小；不要切得太細	한입 크기로 썬다. 너무 잘게 자르지 않는다	
R10.prep.2	strings.js · R10	切段	어슷썬다	
R11.title	strings.js · R11	不用銅盤的銅盤烤肉	서울식 불고기	
R11.subtitle	strings.js · R11	肉肉派菇菇派都愛。平底鍋燜出甜汁，最後要拌飯。	고기파도 버섯파도 좋아해. 자작하게 끓이고 마지막엔 밥.	
R11.note	strings.js · R11	洋蔥跟菇鋪在底層不是擺好看的，能出甜汁還能防黏鍋。牛肉輕輕抓勻就好，揉太用力煮完碎成渣。	양파랑 버섯 바닥에 까는 건 장식 아니야. 채수도 나오고 고기 눌어붙는 거 막아줘. 고기는 살살 버무려야 안 부서져.	
R11.murmur	strings.js · R11	冬粉吸飽肉汁先吃，最後再來拌飯。	육수 밴 당면 먼저, 마무리는 밥 비비기.	
R11.urgent	strings.js · R11	這道不能臨時起意 —— 開火前一小時就要動手。	이건 즉흥으로 못 한다 —— 불 켜기 한 시간 전에는 시작해야 한다.	
R11.stage.1	strings.js · R11	蔬菜鋪底	채소 바닥에 깔기	
R11.stage.2	strings.js · R11	牛肉冬粉燜滾	소고기와 당면 함께 끓이기	
R11.stage.3	strings.js · R11	吸汁收尾	당면에 국물 스며들게	
R11.step.1	strings.js · R11	把洋蔥絲、香菇片、杏鮑菇片、秀珍菇和胡蘿蔔絲均勻鋪在炒鍋底部。	양파, 표고버섯, 새송이버섯, 느타리버섯, 당근을 팬 바닥에 고르게 펼친다.	
R11.step.2	strings.js · R11	把醃好的牛肉連同全部醃醬，一起倒在蔬菜和菇類上。	재운 소고기와 남은 양념을 전부 채소와 버섯 위에 붓는다.	
R11.step.3	strings.js · R11	把泡軟並瀝乾的韓式冬粉鋪在牛肉旁，盡量讓冬粉接觸到醬汁。	불린 뒤 물기를 뺀 당면을 소고기 옆에 놓고 최대한 양념에 닿게 한다.	
R11.step.4	strings.js · R11	開大火，蓋上鍋蓋燜煮 4–5 分鐘，直到湯汁煮滾、牛肉變色。	센 불로 올리고 뚜껑을 덮어 4–5분 끓인다. 국물이 끓고 소고기 색이 변하면 된다.	
R11.step.5	strings.js · R11	打開鍋蓋，用筷子把牛肉片撥散。再把冬粉往下壓，讓它浸入湯汁。	뚜껑을 열고 젓가락으로 소고기를 풀어 준다. 당면은 아래로 눌러 국물에 잠기게 한다.	
R11.step.6	strings.js · R11	轉中小火，繼續煮 2–3 分鐘，讓冬粉吸收湯汁。	중약불로 줄여 2–3분 더 끓이며 당면이 국물을 흡수하게 한다.	
R11.step.7	strings.js · R11	試一口湯。若冬粉吸汁後味道偏鹹或太濃，補水 2–3 湯匙調整。	국물을 맛본다. 당면이 국물을 흡수한 뒤 짜거나 너무 진하면 물 2–3큰술을 더해 조절한다.	
R11.step.8	strings.js · R11	起鍋前 1 分鐘加入大蔥段，翻拌幾下後關火。	불 끄기 1분 전에 대파를 넣고 몇 번 섞은 뒤 불을 끈다.	
R11.tip.1	strings.js · R11	牛肉片只要輕輕抓勻醃料。薄片揉太久容易破，煮完也會碎成小片。	소고기에는 양념이 고루 묻을 정도로만 가볍게 버무린다. 얇은 고기를 오래 주무르면 찢어지고 익힌 뒤에도 잘게 부서진다.	
R11.tip.2	strings.js · R11	冬粉泡到能彎折、不再硬挺再下鍋。沒泡透會外面軟、中間硬，還會在鍋裡繼續猛吸湯汁。	당면이 잘 휘고 딱딱하지 않을 때까지 불린 뒤 넣는다. 덜 불리면 겉은 부드러워도 가운데가 딱딱하고, 냄비 안에서 국물도 지나치게 많이 흡수한다.	
R11.tip.3	strings.js · R11	菇類可以自由混搭。香菇、杏鮑菇、秀珍菇、鴻喜菇都可以，切成差不多大小再一起下鍋。	버섯은 자유롭게 섞어도 된다. 표고, 새송이, 느타리, 만가닥버섯 모두 좋다. 비슷한 크기로 손질해 함께 넣는다.	
R11.tip.4	strings.js · R11	蔬菜鋪底不是裝飾。洋蔥和菇類會先出水帶甜味，也能隔開牛肉和鍋底，減少黏鍋。	채소를 바닥에 까는 건 장식이 아니다. 양파와 버섯에서 수분과 단맛이 먼저 나오고, 소고기가 팬 바닥에 직접 닿는 것도 줄여 준다.	
R11.prep.1	strings.js · R11	擦乾後切成一口大小，放入梨汁醃醬中醃至少 1 小時	물기를 닦아 한입 크기로 자르고 배즙 양념에 최소 1시간 재운다	
R11.prep.2	strings.js · R11	先在保鮮盒中調勻，再放入牛肉	밀폐용기에 먼저 섞은 뒤 소고기를 넣는다	
R11.prep.3	strings.js · R11	用冷水泡至少 30 分鐘，泡軟後瀝乾	찬물에 최소 30분 불리고 부드러워지면 물기를 뺀다	
R11.prep.4	strings.js · R11	切絲	채 썬다	
R11.prep.5	strings.js · R11	切細絲	가늘게 채 썬다	
R11.prep.6	strings.js · R11	切片	얇게 썬다	
R11.prep.7	strings.js · R11	切片	얇게 썬다	
R11.prep.8	strings.js · R11	撕成小朵	먹기 좋게 찢는다	
R11.prep.9	strings.js · R11	斜切段	어슷썬다	
R12.title	strings.js · R12	澱粉回魂脆邊馬鈴薯餅	감자전	
R12.subtitle	strings.js · R12	沉澱澱粉抓回來才夠 Q 彈，邊邊煎脆配洋蔥醬汁。	가라앉은 전분 넣어야 겉바속쫀. 양파장아찌 찍먹이 정석.	
R12.note	strings.js · R12	馬鈴薯絲分批抓一小坨用力擠乾，底下的沉澱澱粉抓回來拌勻。油給足煎到邊緣焦黃再翻面。	감자채는 조금씩 쥐고 꽉 짜서 물기 빼기. 가라앉은 전분은 다시 섞고, 기름 넉넉히 둘러 노릇해지면 뒤집어.	
R12.murmur	strings.js · R12	最焦脆的那圈邊緣，誰都別跟我搶。	제일 바삭한 테두리는 아무도 손대지 마.	
R12.stage.1	strings.js · R12	澱粉拌回去	전분 다시 섞기	
R12.stage.2	strings.js · R12	兩面煎脆	양면 바삭하게	
R12.step.1	strings.js · R12	把擠乾的馬鈴薯絲和碗底沉澱的澱粉拌勻。	물기를 짠 감자채와 그릇 바닥에 가라앉은 전분을 고루 섞는다.	
R12.step.2	strings.js · R12	平底鍋倒入比平常煎蛋稍多的油，以中火加熱。	팬에 달걀 프라이할 때보다 조금 많은 기름을 두르고 중불로 달군다.	
R12.step.3	strings.js · R12	把馬鈴薯糊分成兩份放入鍋中，用湯匙或鍋鏟壓成大餅。要加青辣椒的話，這時把辣椒片鋪在表面。	감자 반죽을 두 덩이로 나눠 팬에 올리고 숟가락이나 주걱으로 넓적하게 누른다. 풋고추를 넣을 거면 이때 위에 올린다.	
R12.step.4	strings.js · R12	中火煎到邊緣開始變透明、底部金黃後再翻面。太早翻容易裂開。	중불에서 가장자리가 투명해지기 시작하고 바닥이 노릇해지면 뒤집는다. 너무 일찍 뒤집으면 갈라지기 쉽다.	
R12.step.5	strings.js · R12	翻面後再煎 3–4 分鐘，直到兩面金黃、邊緣微脆即可起鍋。	뒤집은 뒤 3–4분 더 구워 양면이 노릇하고 가장자리가 살짝 바삭해지면 꺼낸다.	
R12.tip.1	strings.js · R12	這道建議配韓式醬醃洋蔥。薯餅本身不放鹽，洋蔥和醬汁正好補上酸、甜、鹹味。	이 레시피는 감자전에 소금을 따로 넣지 않는다. 양파장아찌와 장아찌 국물이 간을 채워 주기 때문이다.	
R12.tip.2	strings.js · R12	馬鈴薯絲要擠乾一點。水分太多會變成馬鈴薯糊，不容易成形，邊緣也煎不脆。	감자채는 물기를 충분히 짠다. 수분이 많으면 감자죽처럼 되어 모양 잡기 어렵고 가장자리도 바삭해지지 않는다.	
R12.tip.3	strings.js · R12	油別太省。鍋底要有一層薄油，邊緣才會煎出金黃脆殼；油太少只會乾乾地上色。	기름은 너무 아끼지 않는다. 팬 바닥에 얇게 깔릴 정도는 있어야 가장자리가 노릇하고 바삭해진다. 너무 적으면 마르게 색만 난다.	
R12.prep.1	strings.js · R12	去皮刨細絲並擠乾；擠出的水用碗接住，靜置 10 分鐘。倒掉上層水，保留碗底沉澱的白色澱粉	껍질을 벗겨 가늘게 채 친 뒤 물기를 꼭 짠다. 나온 물은 그릇에 받아 10분 둔다. 위의 물은 따라 버리고 바닥에 가라앉은 하얀 전분은 남긴다	
R12.prep.2	strings.js · R12	切薄片，最後鋪在表面	송송 썰어 마지막에 위에 올린다	
R13.title	strings.js · R13	紫蘇油拌蕎麥麵	들기름막국수	
R13.subtitle	strings.js · R13	煮麵四分鐘、拌勻十秒。紫蘇油香到不用嚼。	면 4분 비비기 10초. 들기름 향에 그냥 호로록 넘어감.	
R13.note	strings.js · R13	麵煮好一定要冷水搓洗，雙手輕輕把水擠乾，醬汁才巴得住。糖和醋各半茶匙別省，收尾俐落全靠它。	면 삶고 찬물에 비벼 씻은 뒤 손으로 물기 살짝 짜주기. 설탕이랑 식초 반 작은술이 들기름 느끼함 싹 잡아줘.	
R13.murmur	strings.js · R13	拌好了就吃，別拍照了。	비볐으면 바로 먹어. 사진은 됐고.	
R13.stage.1	strings.js · R13	麵煮好立刻沖洗	면 삶고 바로 헹구기	
R13.stage.2	strings.js · R13	拌好就吃	비비자마자 먹기	
R13.step.1	strings.js · R13	滾水下蕎麥麵，煮 4–5 分鐘。	끓는 물에 메밀면을 넣고 4–5분 삶는다.	
R13.step.2	strings.js · R13	撈起後立刻放進冷水，雙手把麵反覆搓洗 2–3 次。洗到表面滑順、手上幾乎沒有黏黏的澱粉感。	삶은 면은 바로 찬물에 넣고 두 손으로 바락바락 비벼 2–3번 씻는다. 면이 매끈해지고 손에 미끈한 전분기가 거의 남지 않으면 된다.	
R13.step.3	strings.js · R13	瀝乾後再用雙手輕輕擠一下，把麵裡多餘的水擠出來。留水的話醬汁會浮在外面，吃到最後碗底會積一灘。	물기를 뺀 뒤 두 손으로 가볍게 쥐어 면 속에 남은 물기까지 짜낸다. 물이 남으면 양념이 겉돌고, 다 먹을 때쯤 그릇 바닥에 물이 고인다.	
